severity,code,description
FATAL,cabf.serverauth.organization_identifier_invalid_syntax,"Validates that the content of the organizationIdentifier subject attributes and the organizationIdentifier extension are consistent, as per EVG 9.2.8 and 9.2.9."
FATAL,itu.invalid_asn1_syntax,An error occurred when attempting to decode DER-encoded ASN.1 data. Encountering this finding means that the data is likely malformed.
FATAL,pkix.sct_list_extension_invalid_encoding,"The encoding of the SCT List does not conform with RFC 6962, section 3.2."
ERROR,cabf.authority_key_identifier_has_issuer_cert,"""authorityCertIssuer and authorityCertSerialNumber fields SHALL NOT be present."""
ERROR,cabf.ca_certificate_prohibited_ku_present,A CA certificate asserts a prohibited key usage bit.
ERROR,cabf.ca_certificate_required_ku_missing,A CA certificate does not assert a required key usage bit.
ERROR,cabf.certificate_extensions_missing,The certificate does not contain any extensions; all CA/Browser Forum profiles specify at least one required extension for all certificate types.
ERROR,cabf.certificate_validity_period_exceeds_398_days,Validates that the validity period conforms to BR 7.1.2.7.
ERROR,cabf.cps_uri_is_not_http,The URI scheme is not HTTP or HTTPS for the CPS URI policy qualifier.
ERROR,cabf.ev_guidelines.business_category_attribute_absent,Validates that the content of the subject conforms to EVG 9.2.: A required element is absent
ERROR,cabf.ev_guidelines.country_attribute_absent,Validates that the content of the subject conforms to EVG 9.2.: A required element is absent
ERROR,cabf.ev_guidelines.cps_uri_policy_qualifier_missing,"Validates that EV Subscriber certificates contain the CPS URI qualifier, as per EVG 9.7."
ERROR,cabf.ev_guidelines.ev_wildcard_san_present,Validates that wildcard dNSNames conform to EVG 9.8.1.
ERROR,cabf.ev_guidelines.invalid_business_category,Validates that the businessCategory value conforms to EVG 9.2.3.
ERROR,cabf.ev_guidelines.jurisdiction_country_attribute_absent,Validates that the content of the subject conforms to EVG 9.2.: A required element is absent
ERROR,cabf.ev_guidelines.jurisdiction_locality_present_stateprovince_missing,"Validates that jurisdictionStateOrProvinceName is present when jurisdictionLocalityName is present, as per EVG 9.2.4."
ERROR,cabf.ev_guidelines.organization_name_attribute_absent,Validates that the content of the subject conforms to EVG 9.2.: A required element is absent
ERROR,cabf.ev_guidelines.prohibited_san_type,Validates that the types of GeneralNames included in the SAN extension conform to EVG 9.8.1.
ERROR,cabf.ev_guidelines.serial_number_attribute_absent,Validates that the content of the subject conforms to EVG 9.2.: A required element is absent
ERROR,cabf.ev_guidelines.unknown_attribute_present,Validates that the content of the subject conforms to EVG 9.2.: A prohibited element is present
ERROR,cabf.internal_domain_name,An Internal Domain has been specified.
ERROR,cabf.internal_ip_address,A Reserved IP Address has been specified.
ERROR,cabf.invalid_country_code,A country code which does not appear on the ISO 3166-1 list has been specified.
ERROR,cabf.invalid_subject_organization_identifier_country,An invalid country code has been specified in the organizationIdentifier attribute.
