severity,code,source,description
FATAL,base.unhandled_exception,,This finding represents an unhandled error in pkilint. Encountering this finding means that there is likely a bug that needs to be fixed in pkilint.
FATAL,itu.invalid_asn1_syntax,,An error occurred when attempting to decode DER-encoded ASN.1 data. Encountering this finding means that the data is likely malformed.
ERROR,adbe.invalid_timestamp_location_type,https://www.adobe.com/devnet-docs/acrobatetk/tools/DigSigDC/oids.html#x-509-extension-oids,"""In v1 GeneralName can be only uniformResourceIdentifier"""
ERROR,cabf.aia_ca_issuers_has_no_http_uri,SMBR 7.1.2.3 (c),"Legacy: ""When provided, at least one accessMethod SHALL have the URI scheme HTTP"". MP and strict: ""When provided, every accessMethod SHALL have the URI scheme HTTP"""
ERROR,cabf.aia_ocsp_has_no_http_uri,SMBR 7.1.2.3 (c),"Legacy: ""When provided, at least one accessMethod SHALL have the URI scheme HTTP"". MP and strict: ""When provided, every accessMethod SHALL have the URI scheme HTTP"""
ERROR,cabf.authority_key_identifier_has_issuer_cert,SMBR 7.1.2.3 (g),"""authorityCertIssuer and authorityCertSerialNumber fields SHALL NOT be present."""
ERROR,cabf.crldp_extension_missing,SMBR 7.1.2.3 (b),"""SHALL be present"""
ERROR,cabf.insignificant_attribute_value_present,SMBR 7.1.4.2,"Subject attributes SHALL NOT contain only metadata such as '.', '-', and ' ' (i.e., space) characters, and/or any other indication that the value is absent, incomplete, or not applicable."
ERROR,cabf.internal_domain_name,,The use of an internal domain name (whose superior domain labels do not appear on the PSL)
ERROR,cabf.invalid_country_code,,The use of a country code that does not appear on ISO 3166.
ERROR,cabf.invalid_organization_identifier_country,SMBR 7.1.4.2.2 (d),The use of a country code that is not allowed in the organizationIdentifier attribute
ERROR,cabf.invalid_subject_organization_identifier_encoding,SMBR 7.1.4.2.2 (d),The use of a legacy encoding for new subject names (which all S/MIME certificates will have)
ERROR,cabf.invalid_subject_organization_identifier_format,SMBR 7.1.4.2.2 (d),The inclusion of a value which does not adhere to the specified attribute format
ERROR,cabf.invalid_subject_organization_identifier_registration_scheme,SMBR 7.1.4.2.2 (d),The inclusion of a scheme which is not recognized
ERROR,cabf.invalid_subject_organization_identifier_state_province_for_scheme,SMBR 7.1.4.2.2 (d),The inclusion of a state/province value when the scheme does not permit such inclusion
ERROR,cabf.invalid_subject_organization_identifier_state_province_format,SMBR 7.1.4.2.2 (d),"The inclusion of a state/province value that violates "" 2 character ISO 3166?2 identifier for the subdivision of the nation in which the Registration Scheme is operated"""
ERROR,cabf.name.attribute_value_contains_html_entity,SMBR 7.1.4.2.2,"""Validates that attribute values do not contain HTML entities."""
ERROR,cabf.no_http_crldp_uri,SMBR 7.1.2.3 (b),"""At least one uniformResourceIdentifier SHALL have the URI scheme HTTP"""
ERROR,cabf.rsa_exponent_prohibited_value,SMBR 6.1.6,"""For RSA key pairs: the CA SHALL confirm that the value of the public exponent is an odd number equal to 3 or more."""
ERROR,cabf.rsa_modulus_invalid_length,SMBR 6.1.5,"""For RSA key pairs the CA SHALL: Ensure that the modulus size, when encoded, is at least 2048 bits; and Ensure that the modulus size, in bits, is evenly divisible by 8"""
ERROR,cabf.smime.adobe_archive_revinfo_extension_critical,SMBR 7.1.2.3 (m),"""MAY be present and SHALL NOT be marked critical"""
ERROR,cabf.smime.adobe_archive_revinfo_extension_prohibited,SMBR 7.1.2.3 (m),"""Strict: prohibited"""
ERROR,cabf.smime.adobe_timestamp_extension_critical,SMBR 7.1.2.3 (m),"""MAY be present and SHALL NOT be marked critical"""
ERROR,cabf.smime.adobe_timestamp_extension_prohibited,SMBR 7.1.2.3 (m),"""Strict: prohibited"""
ERROR,cabf.smime.aia_prohibited_generalname_type,SMBR 7.1.2.3 (c),"""Allowed URI scheme"""
ERROR,cabf.smime.aia_prohibited_uri_scheme,SMBR 7.1.2.3 (c),"Legacy: ""When provided, at least one accessMethod SHALL have the URI scheme HTTP"". MP and strict: ""When provided, every accessMethod SHALL have the URI scheme HTTP"""
ERROR,cabf.smime.anypolicy_present,An end-entity S/MIME certificate contains the anyPolicy policy identifier,
ERROR,cabf.smime.certificate_policies_extension_missing,SMBR 7.1.2.3 (a),"""SHALL be present"""
ERROR,cabf.smime.certificate_validity_period_exceeds_1185_days,SMBR 6.2.3,"""Legacy: 1185 days"""
ERROR,cabf.smime.common_name_value_unknown_source,SMBR 7.1.4.2.2 (a),Common name attribute contains a value that does not correspond to any allowed value in the table in 7.1.4.2.2 (a)
ERROR,cabf.smime.cps_uri_is_not_http,SMBR 7.1.2.3 (a),"""If the value of this extension includes a PolicyInformation which contains a qualifier of type id-qt-cps (OID: 1.3.6.1.5.5.7.2.1), then the value of the qualifier SHALL be a HTTP or HTTPS URL for the Issuing CA�s CP and/or CPS, Relying Party Agreement, or other pointer to online policy information provided by the Issuing CA"""
ERROR,cabf.smime.crldp_fullname_prohibited_generalname_type,SMBR 7.1.2.3 (b),"""Allowed URI scheme"""
ERROR,cabf.smime.crldp_fullname_prohibited_uri_scheme,SMBR 7.1.2.3 (b),"Legacy: ""At least one uniformResourceIdentifier SHALL have the URI scheme HTTP"". MP and strict: ""Every uniformResourceIdentifier SHALL have the URI scheme HTTP"""
ERROR,cabf.smime.email_address_in_attribute_not_in_san,SMBR 7.1.4.2.1,"""All Mailbox Addresses in the subject field or entries of type dirName of this extension SHALL be repeated as rfc822Name or otherName values of type id-on-SmtpUTF8Mailbox in this extension"""
ERROR,cabf.smime.emailprotection_eku_missing,SMBR 7.1.2.3 (f),"""id-kp-emailProtection SHALL be present"""
ERROR,cabf.smime.extended_key_usage_extension_missing,SMBR 7.1.2.3 (f),"""SHALL be present"""
ERROR,cabf.smime.invalid_lei_scheme_format,SMBR 7.1.4.2.2 (d) and SMBR 7.1.2.3 (l),LEI value does not conform to standard LEI format (20 alphanumeric characters)
ERROR,cabf.smime.is_ca_certificate,SMBR 7.1.2.3 (d),"""The cA field SHALL NOT be true"""
ERROR,cabf.smime.key_usage_extension_missing,SMBR 7.1.2.3 (e),"""SHALL be present"""
ERROR,cabf.smime.legacy_generation_certificate_issued_after_prohibition,SMBR 7.1.6.1,"Effective July 15, 2025 S/MIME Subscriber Certificates SHALL NOT be issued using the Legacy Generation profiles 2.23.140.1.5.1.1, 2.23.140.1.5.2.1, 2.23.140.1.5.3.1, or 2.23.140.1.5.4.1."
ERROR,cabf.smime.lei_extension_critical,SMBR 7.1.2.3 (l),""" SHALL NOT be marked critical"""
ERROR,cabf.smime.lei_extension_prohibited,SMBR 7.1.2.3 (l),Mailbox- and individual-validated: Prohibited
ERROR,cabf.smime.lei_role_extension_critical,SMBR 7.1.2.3 (l),"""SHALL NOT be marked critical"""
ERROR,cabf.smime.lei_role_extension_prohibited,SMBR 7.1.2.3 (l),Mailbox- and individual-validated: Prohibited
ERROR,cabf.smime.missing_required_attribute,"SMBR 7.1.4.2.3, 7.1.4.2.4, 7.1.4.2.5, 7.1.4.2.6",An SHALL-level attribute is not included in the DN
ERROR,cabf.smime.mixed_name_and_pseudonym_attributes,SMBR 7.1.4.2.2 (e),"""The subject:givenName and/or subject:surname SHALL NOT be present if the subject:pseudonym is present"""
ERROR,cabf.smime.multiple_reserved_policy_oids,SMBR 7.1.2.3 (a),"""It SHALL include exactly one of the reserved policyIdentifiers listed in Section 7.1.6."""
ERROR,cabf.smime.no_required_reserved_policy_oid,SMBR 7.1.2.3 (a),"""It SHALL include exactly one of the reserved policyIdentifiers listed in Section 7.1.6."""
ERROR,cabf.smime.org_identifier_and_country_name_attribute_inconsistent, SMBR Appendix A,"""The country code used in the Registration Scheme identifier SHALL match that of the subject:countryName in the Certificate as specified in Section 7.1.4.2.2."""
ERROR,cabf.smime.prohibited_attribute,"SMBR 7.1.4.2.3, 7.1.4.2.4, 7.1.4.2.5, 7.1.4.2.6",A SHALL NOT-level attribute is included in the DN
ERROR,cabf.smime.prohibited_eku_present,SMBR 7.1.2.3 (f),"Strict: ""Other values SHALL NOT be present"""
ERROR,cabf.smime.prohibited_generalname_type_present,SMBR 7.1.4.2.1,"""The CA SHALL NOT include GeneralName entries that do not conform to the requirements of this section."""
ERROR,cabf.smime.prohibited_ku_present,SMBR 7.1.2.3 (e),A KU bit not allowed in the table is asserted
ERROR,cabf.smime.prohibited_othername_type_present,SMBR 7.1.4.2,"""For Legacy and Multipurpose Generation profiles, then the CA MAY include otherName entries of any type, provided that the CA has validated the field value according to its CP and/or CPS."" (Strict is disallowed)"
ERROR,cabf.smime.prohibited_signature_algorithm_encoding,SMBR 7.1.3.2,"""No other encodings are permitted"""
ERROR,cabf.smime.prohibited_spki_algorithm_encoding,SMBR 7.1.3.1,"""No other encodings are permitted"""
ERROR,cabf.smime.qc_statements_extension_critical,SMBR 7.1.2.3 (k),"""SHALL NOT be marked critical"""
ERROR,cabf.smime.required_ku_missing,SMBR 7.1.2.3 (e),A KU bit required by the table is not asserted
ERROR,cabf.smime.san_does_not_contain_email_address,SMBR 7.1.4.2.1,"""This extension SHALL contain at least one GeneralName entry of the following types: Rfc822Name and/or otherName of type id-on-SmtpUTF8Mailbox, encoded in accordance with RFC 8398"""
ERROR,cabf.smime.san_extension_missing,SMBR 7.1.4.2.1,"""SHALL be present"""
ERROR,cabf.smime.subject_directory_attributes_extension_prohibited,SMBR 7.1.2.3 (j),"Strict and MP: ""Prohibited"""
ERROR,cabf.smime.unknown_certificate_key_usage_type,SMBR 7.1.2.3 (e),Disallowed combination of asserted KU bits which does not correspond to a signing or key management certificate
ERROR,cabf.smime.unsupported_public_key_type,SMBR 7.1.3.1,
ERROR,cabf.smime.usernotice_has_noticeref,SMBR 7.1.2.3 (a),"""If a qualifier of type id-qt-unotice (OID: 1.3.6.1.5.5.7.2.2) is included, then it SHALL contain explicitText and SHALL NOT contain noticeRef"""
ERROR,iso.lei.invalid_lei_checksum,ISO 17442,LEI checksum character is incorrect
ERROR,iso.lei.invalid_lei_format,ISO 17442,LEI value format is not correct
